target_country,Business Traveler,Creative,Japan Interest,Luxury Lifestyle,Tech/Digital,Travel Enthusiast,Unclassified
CA,297,1020,0,6,470,211,1224
DE,300,37,0,7,430,888,639
FR,5,1,6,0,281,5078,641
IT,0,1,0,0,6,152,5
UK,597,190,0,1,1711,365,3244
US,11609,109340,4,70,10830,3460,3432
