date,post_count,total_impressions,total_engagement,avg_sentiment
2026-01-12,4,60,3,0.0
2026-01-13,14,217172,1670,-0.35714285714285715
2026-01-14,17,34071,170,-2.6470588235294117
2026-01-15,9,6118,82,-1.1111111111111112
2026-01-16,10,5710,74,-1.5
2026-01-17,21,293205,3114,-2.380952380952381
2026-01-18,11,81588,1761,0.45454545454545453
2026-01-19,12,132,11,-0.4166666666666667
2026-01-20,18,817,27,-1.1111111111111112
2026-01-21,14,91,16,-0.35714285714285715
