date,post_count,total_impressions,total_engagement,avg_sentiment
2024-07-06,6,207,8,-2.5
2024-07-07,3,4002,8,-3.3333333333333335
2024-07-08,8,146,7,0.625
2024-07-09,4,250,0,1.25
2024-07-10,4,11,18,1.25
2024-07-11,2,0,0,-2.5
2024-07-12,6,0,0,-0.8333333333333334
2024-07-13,10,0,0,0.5
2024-07-14,5,20230,79,1.0
2024-07-15,3,1,0,-3.3333333333333335
2024-07-16,31,399683,4937,-3.870967741935484
2024-07-17,50,124,11,-4.5
2024-07-18,10,28,19,-3.5
2024-07-19,10,64,5,-2.5
2024-07-20,2,0,0,2.5
2024-07-21,5,1107,38,4.0
2024-07-22,7,0,0,-1.4285714285714286
2024-07-23,1,0,0,0.0
2024-07-24,7,1704,7,-0.7142857142857143
2024-07-25,8,0,1,1.25
2024-07-26,2,13,1,0.0
2024-07-27,3,2,0,-3.3333333333333335
2024-07-28,5,1,0,-2.0
2024-07-29,7,7952,69,-0.7142857142857143
2024-07-30,2,0,0,-2.5
2024-07-31,9,221,38,-1.6666666666666667
2024-08-01,5,0,0,-1.0
2024-08-02,3,0,0,3.3333333333333335
2024-08-03,7,58692,128,0.0
2024-08-04,5,484,16,-1.0
2024-08-05,5,0,2,-2.0
2024-08-06,4,1,0,3.75
2024-08-07,7,2898,53,-0.7142857142857143
2024-08-08,7,22,2,2.857142857142857
2024-08-09,1,0,0,0.0
2024-08-10,3,95,26,-1.6666666666666667
2024-08-11,2,6836,71,-5.0
2024-08-12,4,401,14,-3.75
2024-08-13,3,0,2,0.0
2024-08-14,5,2890,25,1.0
2024-08-15,4,36,4,-3.75
2024-08-16,3,0,0,1.6666666666666667
2024-08-17,5,0,0,2.0
2024-08-18,4,0,14,1.25
2024-08-19,7,901,14,1.4285714285714286
2024-08-20,6,87,11,0.0
2024-08-21,4,743,36,0.0
2024-08-22,59,8941,111,-3.559322033898305
2024-08-23,290,191460,2159,-3.7413793103448274
2024-08-24,37,9878,39,-2.8378378378378377
2024-08-25,6,112,12,-1.6666666666666667
2024-08-26,17,4769,62,0.0
2024-08-27,6,3447,26,0.8333333333333334
2024-08-28,5,916,20,-2.0
2024-08-29,3,58,14,0.0
2024-08-30,4,461,27,-2.5
2024-08-31,2,184,6,0.0
2024-09-01,3,215,12,0.0
2024-09-02,3,0,0,3.3333333333333335
2024-09-03,3,5328,36,1.6666666666666667
2024-09-04,6,4793,80,-0.8333333333333334
2024-09-05,10,1876,16,-3.5
2024-09-06,10,22699,631,-3.5
2024-09-07,7,721,16,-2.857142857142857
2024-09-08,1,0,0,-5.0
2024-09-09,6,988,28,-3.3333333333333335
2024-09-10,4,319,8,2.5
2024-09-11,6,1551,20,0.8333333333333334
2024-09-12,12,33954,79,-2.0833333333333335
2024-09-13,7,167,12,0.0
2024-09-14,5,1488,50,-2.0
2024-09-15,4,1455,12,1.25
2024-09-16,3,0,0,1.6666666666666667
2024-09-17,6,2605,20,-2.5
2024-09-18,4,3005,36,-2.5
2024-09-19,8,3551,12,0.0
2024-09-20,2,240,5,0.0
2024-09-21,3,2281,47,-1.6666666666666667
2024-09-22,4,705,12,1.25
2024-09-23,3,891,16,0.0
2024-09-24,4,1395,14,0.0
2024-09-25,3,632,17,0.0
2024-09-26,2,482,23,5.0
2024-09-27,3,4,4,-1.6666666666666667
2024-09-28,4,1906,12,0.0
2024-09-29,5,8,3,-1.0
2024-09-30,1,0,0,-5.0
2024-10-01,3,1446,15,-5.0
2024-10-02,6,1561,23,-0.8333333333333334
2024-10-03,3,84,2,0.0
2024-10-04,6,118495,388,-4.166666666666667
2024-10-05,5,89,6,1.0
2024-10-07,4,288,15,0.0
2024-10-08,6,1069,5,-2.5
2024-10-09,7,174,8,-3.5714285714285716
2024-10-10,5,1334,22,-2.0
2024-10-11,4,78,3,-2.5
2024-10-12,2,444,2,0.0
2024-10-13,4,2270,8,0.0
2024-10-14,3,19,4,-3.3333333333333335
2024-10-15,2,29,6,-2.5
2024-10-16,4,376,13,0.0
2024-10-17,5,909,14,0.0
2024-10-18,8,1978,25,0.625
2024-10-19,3,39,5,1.6666666666666667
2024-10-20,10,40,11,-3.5
2024-10-21,4,4740,34,0.0
2024-10-22,4,116,8,-1.25
2024-10-23,1,847,6,0.0
2024-10-24,3,3828,20,-5.0
2024-10-25,4,3014,9,1.25
2024-10-26,15,5003,40,1.0
2024-10-27,7,91,5,2.142857142857143
2024-10-28,9,1840,10,0.5555555555555556
2024-10-29,4,35,3,2.5
2024-10-30,5,1049,27,-1.0
2024-10-31,4,3042,8,3.75
2024-11-01,8,874,8,0.625
2024-11-02,9,249,27,0.5555555555555556
2024-11-03,5,1290,16,1.0
2024-11-04,3,54,6,3.3333333333333335
2024-11-05,5,9630,137,-3.0
2024-11-06,5,17267,54,1.0
2024-11-07,5,0,0,1.0
2024-11-08,3,0,0,1.6666666666666667
2024-11-09,3,297,15,-3.3333333333333335
2024-11-10,2,0,0,-5.0
2024-11-11,9,430,6,0.0
2024-11-12,5,440,4,0.0
2024-11-13,2,8,1,-2.5
2024-11-14,10,15899,68,-0.5
2024-11-15,7,857,15,-3.5714285714285716
2024-11-16,2,7,2,0.0
2024-11-17,6,1009,12,-2.5
2024-11-18,3,584,27,0.0
2024-11-19,2,10,2,5.0
2024-11-20,2,75,3,5.0
2024-11-21,9,2140,25,0.5555555555555556
2024-11-22,4,27,2,-1.25
2024-11-23,16,3274,25,2.1875
2024-11-24,10,2,1,-1.0
2024-11-25,4,1415,12,-2.5
2024-11-26,27,10100,157,2.2222222222222223
2024-11-27,13,2585,28,0.38461538461538464
2024-11-28,4,10282,44,-3.75
2024-11-29,3,211,1,1.6666666666666667
2024-11-30,5,2896,26,4.0
2024-12-01,3,59,4,-1.6666666666666667
2024-12-02,3,0,0,-1.6666666666666667
2024-12-03,5,9127,29,3.0
2024-12-04,13,269500,3319,-1.1538461538461537
2024-12-05,20,5274,94,0.25
2024-12-06,6,4976,62,1.6666666666666667
2024-12-07,3,76682,233,5.0
2024-12-08,6,844,17,-2.5
2024-12-09,5,626,11,-4.0
2024-12-10,2,0,0,-5.0
2024-12-11,7,2705,31,-2.142857142857143
2024-12-12,6,4106,117,0.0
2024-12-13,2,1072,7,2.5
2024-12-14,7,21417,103,-1.4285714285714286
2024-12-15,3,11614,75,0.0
2024-12-16,42,347026,10168,-2.9761904761904763
2024-12-17,30,544,23,-3.3333333333333335
2024-12-18,13,49670,1201,-1.5384615384615385
2024-12-19,15,27968,233,-1.0
2024-12-20,16,421485,18796,-3.125
2024-12-21,74,39124,868,-3.3783783783783785
2024-12-22,21,212,11,-0.47619047619047616
2024-12-23,18,2917,42,-3.3333333333333335
2024-12-24,7,1196,11,1.4285714285714286
2024-12-25,5,2197,7,2.0
2024-12-26,2,3938,41,-2.5
2024-12-27,1,36,2,0.0
2024-12-28,3,28,9,0.0
2024-12-29,3,471,21,0.0
2024-12-30,3,173,6,0.0
2024-12-31,54,15406,97,-3.888888888888889
2025-01-01,19,3821,70,-3.4210526315789473
2025-01-02,8,6627,26,-0.625
2025-01-03,13,1342,21,-1.1538461538461537
2025-01-04,3,245,3,0.0
2025-01-05,12,538,18,2.0833333333333335
2025-01-06,7,1384,34,1.4285714285714286
2025-01-07,6,3343,191,0.0
2025-01-08,1,0,0,-5.0
2025-01-09,24,107318,1697,-4.583333333333333
2025-01-10,3,149,4,-5.0
2025-01-11,3,8,3,0.0
2025-01-12,2,61,3,-5.0
2025-01-13,6,360,6,-2.5
2025-01-14,3,1001,8,-1.6666666666666667
2025-01-15,5,448,20,-2.0
2025-01-16,1,0,0,0.0
2025-01-17,3,15323,682,0.0
2025-01-18,3,19,2,1.6666666666666667
2025-01-19,4,396,16,-1.25
2025-01-20,4,209,8,1.25
2025-01-21,4,1765,44,0.0
2025-01-22,2,1863,29,0.0
2025-01-23,4,5047,14,-1.25
2025-01-24,4,1344,6,1.25
2025-01-25,2,5,4,2.5
2025-01-26,2,101,12,0.0
2025-01-27,4,0,0,0.0
2025-01-28,4,47724,961,1.25
2025-01-29,4,1201,7,-3.75
2025-01-30,9,26029,48,-1.1111111111111112
2025-01-31,29,178736,3961,-0.6896551724137931
2025-02-01,5,399,65,-2.0
2025-02-02,12,3915,84,-2.0833333333333335
2025-02-03,7,931,15,0.0
2025-02-04,7,170094,43,-0.7142857142857143
2025-02-05,15,6223,475,-0.3333333333333333
2025-02-06,6,3846,25,0.0
2025-02-07,6,106,4,0.0
2025-02-08,2,0,0,-5.0
2025-02-09,19,16735,69,-1.3157894736842106
2025-02-10,8,5671,43,-1.25
2025-02-11,4,481,5,0.0
2025-02-12,3,9800,289,-3.3333333333333335
2025-02-13,1,0,0,0.0
2025-02-14,19,27850,1027,-2.8947368421052633
2025-02-15,12,6222,31,-2.0833333333333335
2025-02-16,5,553,74,-5.0
2025-02-17,8,4008,185,0.0
2025-02-18,6,145,5,0.8333333333333334
2025-02-19,5,12224,144,1.0
2025-02-20,5,22,11,1.0
2025-02-21,4,2773,5,0.0
2025-02-23,3,0,0,1.6666666666666667
2025-02-24,5,303,4,1.0
2025-02-25,12,5192,138,-3.3333333333333335
2025-02-26,12,20,3,-2.9166666666666665
2025-02-27,8,6612,50,-5.0
