tribe,post_count,unique_authors,avg_followers,total_impressions,total_engagement,avg_sentiment
Unclassified,3179,2850,125096.04057879836,9716600,81818,-1.6829191569675999
Tech/Digital,922,766,12406.562906724512,1195375,17824,-1.1117136659436009
Travel Enthusiast,794,385,15800.09571788413,1619051,16607,0.535264483627204
Business Traveler,616,531,22146.689935064936,9106463,91474,-1.1850649350649352
Creative,205,183,25340.69756097561,3363954,138930,-1.2439024390243902
Luxury Lifestyle,67,56,3928.9402985074626,32099,165,-1.044776119402985
Japan Interest,12,12,1693.5833333333333,3075,25,-1.25
