topic,mention_count,total_impressions,avg_impressions,total_engagement,avg_sentiment
Seat & Comfort,1724,3414066,1980.3167053364268,50301,-1.4791183294663572
Price & Miles,940,2163908,2302.0297872340425,35769,-0.5106382978723404
Service,830,13338336,16070.284337349398,189140,-2.102409638554217
Food & Dining,730,16698912,22875.22191780822,249964,-1.5342465753424657
Entertainment,498,3165564,6356.55421686747,118329,-1.1244979919678715
Lounge,457,556820,1218.4245076586433,7019,-0.4923413566739606
