投稿日,アカウント名,PR/通常,sns,担当者,タイトル,URL,種別,更新日,動画尺,再生数,いいね,コメント,共有,保存,いいね率,コメント率,共有率,保存率,平均視聴時間,視聴維持率,1秒継続率,3秒継続率,6秒継続率,フル視聴率,新規フォロー,フォロー率,おすすめ率
2026-01-22 00:00:00,デパコス,通常,YT,,冬におすすめ！クッションファンデ30種類以上試して選んだお気に入り紹介 #コスメ #美容 #メイク #購入品紹介 #正直レビュー,https://youtube.com/shorts/-UBSoVAsOWs?si=s0z-FwD6vu5xQ_DH,単品,2026/01/26 12:33:12,38,18960,221,0,,,0.011699999999999999,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-22 00:00:00,デパコス,通常,IG,,似てる似てないじゃなくてそれぞれ良さがあるよねっ！ #クレドポーボーテ #fwee #エクセル #エテュセ,https://www.instagram.com/reel/DTzqICmktHk/?igsh=MWgxbzhuczhueHJ2OA==,単品,2026/01/26 12:37:49,25,58,3,0,,,0.051699999999999996,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-22 00:00:00,デパコス,通常,YT,,クレドの下地に似てる似てない論争に決着つけます #コスメ #美容 #メイク #購入品紹介 #正直レビュー,https://youtube.com/shorts/K3sG1KAXJr0?si=1_glvFV96sJryvBq,単品,2026/01/26 12:28:47,26,7671,44,0,,,0.005699999999999999,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-22 00:00:00,大学生,通常,IG,Maya,ババアの皆さんはこれ買ってください #ハイライト #セザンヌ,https://www.instagram.com/reel/DTzqqlBk4Dt/?igsh=MW52Z2lsb29raGlzeQ==,単品,2026/01/26 12:37:57,8,0,1,0,,,,,,,,0.0,,,,,,,
2026-01-22 00:00:00,大学生,通常,YT,Maya,600円でこれはヤバい！セザンヌのハイライトが名品すぎる #コスメ #美容 #メイク #プチプラ #購入品紹介,https://youtube.com/shorts/HgtTOc04hDk?si=o3zF4pxATsgSon2M,単品,2026/01/26 12:28:48,9,8947,16,0,,,0.0018,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-22 00:00:00,Sakurabeauty,通常,IG,,Let me show you the Japanese skincare I recommend for oily skin! #jbeauty #japaneseskincare #jbeautyskincare #oilyskin,https://www.instagram.com/reel/DTzqO1pAVVF/?igsh=cmV0bmYzNDBrOWhz,単品,2026/01/26 12:38:04,30,0,0,0,,,,,,,,0.0,,,,,,,
2026-01-22 00:00:00,Sakurabeauty,通常,YT,,Let me show you the Japanese skincare I recommend for oily skin! #jbeauty #japaneseskincare,https://youtube.com/shorts/YTjqH0GD_0E?si=lbm_rwan1iNQm1Sc,単品,2026/01/26 12:28:49,30,8,0,0,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-22 00:00:00,Maya grant,通常,IG,Riho,I asked why the Dove scrub you always see in Japan is so popular!My friend uses the pomegranate one! #jbeauty #jbeautyskincare #dove #japanhaul #donquixote,https://www.instagram.com/reel/DTzqE1vkTqe/?igsh=dW5pN3F3MG43NDd4,単品,2026/1/26 12:38:11,30,4785,145,0,,,0.030299999999999997,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-22 00:00:00,Maya grant,通常,YT,Riho,I asked why the Dove scrub you always see in Japan is so popular!My friend uses the pomegranate one!,https://youtube.com/shorts/8LdkTkD8Szg?si=iAK2A5XNA_2_qKPS,単品,2026/1/26 12:28:50,31,1004,21,0,,,0.0209,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-22 00:00:00,しーちゃん２,通常,YT,Maya,【保存必須】絶対に可愛く見えるマフラーの巻き方4選 #コスメ #美容 #垢抜け #モテる #ファッション,https://youtube.com/shorts/dYHG-qmWyAA?si=XVVUC1B2-N0SbABR,単品,2026/01/26 12:28:51,62,2652,44,0,,,0.0166,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-22 00:00:00,しーちゃん２,通常,IG,Maya,塗るスムージー⁉︎🥤💄SNSで発売前からバズってるfweeの新作リップが可愛すぎる！！パーソナルカラーでおすすめの色も紹介してるよ🩷🩶💛🤎#fwee #新作コスメ #コスメ #リップ #韓国コスメ,https://www.instagram.com/p/DTmxN20EaGH/?igsh=MWdpemc5eDc0czh5dQ==,単品,2026/01/26 12:46:32,,,9,0,,,,,,,,,,,,,,,
2026-01-22 00:00:00,モテコスメちゃん,通常,TikTok,Maya,無印行ったらこれ買って！QOLが爆上がりするおすすめ５選まとめました📝✨️ みんなのおすすめもコメントで教えてね💬 #無印良品 #無印良品購入品 #購入品紹介 #コスメ #ポーチ,https://lite.tiktok.com/t/ZSah8AqRM/,単品,2026/1/26 5:21:28,36,14600,298,1,5,133,0.0204,0.0001,0.0003,0.0091,,0.0,,,,,,,
2026-01-23 00:00:00,モテコスメちゃん,通常,IG,Maya,無印行ったらこれ買って！QOLが爆上がりするおすすめ５選まとめました📝✨️みんなのおすすめもコメントで教えてね💬#無印良品 #無印良品購入品 #購入品紹介 #コスメ #ポーチ,https://www.instagram.com/reel/DT2O5XSkj_N/?igsh=MW9idHVkZDBuOGM5OQ==,単品,2026/01/26 12:38:21,37,0,2304,1,,,,,,,,0.0,,,,,,,
2026-01-23 00:00:00,モテコスメちゃん,通常,YT,Maya,【最新保存版】無印で見つけたら即買い！QOL爆上がりアイテム5選 #shorts #コスメ #美容 #無印良品 #購入品紹介,https://youtube.com/shorts/LufXN0NeAiM?si=u5kNDidLEj_Q0yTm,単品,2026/01/26 12:28:52,38,350542,2544,2,,,0.0073,0.0,0.0,0.0,,0.0,,,,,,,
2026-01-23 00:00:00,モテコスメちゃん,通常,X(Twitter),Maya,無印,https://x.com/mote__cosme/status/2014534303015961008?s=46&t=AXcBEy1MRH62MHqNgHpBAA,,,,,,,,,,,,,,,,,,,,,
2026-01-23 00:00:00,ビビちゃん,通常,IG,Maya,スリコ行ったら絶対買って！！！💘🫧特に最後のはリピ買いするレベルで好きだった！！！！😌#スリコ #スリーコインズ #スリコ購入品 #コスメ #おすすめコスメ,https://www.instagram.com/reel/DT2O323ksCC/?igsh=MTE1c3BsYWhzN3Jlcg==,単品,2026/01/26 12:38:29,40,0,231,0,,,,,,,,0.0,,,,,,,
